GTEX-N7MS-0007-SM-2D43E	GSM1117144_GTEX-N7MS-0007-SM-2D43E.CEL
GTEX-N7MS-0011-R10A-SM-2IZJW	GSM1117145_GTEX-N7MS-0011-R10A-SM-2IZJW.CEL
GTEX-N7MS-0011-R11A-SM-2IZJZ	GSM1117146_GTEX-N7MS-0011-R11A-SM-2IZJZ.CEL
GTEX-N7MS-0011-R1a-SM-2AXVJ	GSM1117147_GTEX-N7MS-0011-R1a-SM-2AXVJ.CEL
GTEX-N7MS-0011-R2a-SM-2IZK7	GSM1117148_GTEX-N7MS-0011-R2a-SM-2IZK7.CEL
GTEX-N7MS-0011-R3a-SM-2AXVU	GSM1117149_GTEX-N7MS-0011-R3a-SM-2AXVU.CEL
GTEX-N7MS-0011-R4a-SM-2AXW2	GSM1117150_GTEX-N7MS-0011-R4a-SM-2AXW2.CEL
GTEX-N7MS-0011-R5a-SM-2AXW7	GSM1117151_GTEX-N7MS-0011-R5a-SM-2AXW7.CEL
GTEX-N7MS-0011-R6a-SM-2AXWD	GSM1117152_GTEX-N7MS-0011-R6a-SM-2AXWD.CEL
GTEX-N7MS-0011-R7a-SM-2AXV5	GSM1117153_GTEX-N7MS-0011-R7a-SM-2AXV5.CEL
GTEX-N7MS-0011-R8a-SM-2AXVD	GSM1117154_GTEX-N7MS-0011-R8a-SM-2AXVD.CEL
GTEX-N7MS-0426-SM-2QU34	GSM1117155_GTEX-N7MS-0426-SM-2QU34.CEL
GTEX-N7MS-0626-SM-2QU2Q	GSM1117156_GTEX-N7MS-0626-SM-2QU2Q.CEL
GTEX-N7MS-0826-SM-2AXU2	GSM1117157_GTEX-N7MS-0826-SM-2AXU2.CEL
GTEX-N7MS-0926-SM-2AXU3	GSM1117158_GTEX-N7MS-0926-SM-2AXU3.CEL
GTEX-N7MS-2326-SM-2AXU4	GSM1117159_GTEX-N7MS-2326-SM-2AXU4.CEL
GTEX-N7MS-2425-SM-2D43D	GSM1117160_GTEX-N7MS-2425-SM-2D43D.CEL
GTEX-N7MS-2526-SM-2D43A	GSM1117161_GTEX-N7MS-2526-SM-2D43A.CEL
GTEX-N7MT-0011-R10A-SM-2IZHQ	GSM1117162_GTEX-N7MT-0011-R10A-SM-2IZHQ.CEL
GTEX-N7MT-0011-R11A-SM-2IZHP	GSM1117163_GTEX-N7MT-0011-R11A-SM-2IZHP.CEL
