GTEX-OOBJ-0226-SM-2YUMM	GTEX-OOBJ-0226-SM-2D453
GTEX-OIZH-0226-SM-2YUMH	GTEX-OIZH-0226-SM-2AXUJ
GTEX-QDVJ-1826-SM-2S1P3	GTEX-QDVJ-1826-SM-2QU2U
GTEX-P4PP-0226-SM-2S1NN	GTEX-P4PP-0226-SM-2M479
GTEX-QDVN-2126-SM-2I3FR	GTEX-QDVN-2126-SM-2IZIR
GTEX-OIZF-0226-SM-2I5GR	GTEX-OIZF-0226-SM-2AXUI
GTEX-QVJO-0226-SM-2S1R2	GTEX-QVJO-0226-SM-2TO4P
GTEX-OXRK-0326-SM-2YUMQ	GTEX-OXRK-0326-SM-2M47J
GTEX-PWN1-0226-SM-2S1OZ	GTEX-PWN1-0226-SM-2QU2P
GTEX-Q2AI-1426-SM-2S1P5	GTEX-Q2AI-1426-SM-2QU2Y
GTEX-Q734-1826-SM-2I3EL	GTEX-Q734-1826-SM-2IZIA
GTEX-P4PQ-0226-SM-2S1NK	GTEX-P4PQ-0226-SM-2M477
GTEX-P44H-0326-SM-2XCES	GTEX-P44H-0326-SM-2XV4H
GTEX-S4Q7-1626-SM-3K2AE	GTEX-S4Q7-1626-SM-2XU8B
GTEX-OXRN-0226-SM-2I5EJ	GTEX-OXRN-0226-SM-2D44T
GTEX-QCQG-1826-SM-2S1P2	GTEX-QCQG-1826-SM-2QU2R
GTEX-POMQ-2326-SM-2S1O8	GTEX-POMQ-2326-SM-2QU32
GTEX-S4Z8-1726-SM-3K2AX	GTEX-S4Z8-1726-SM-2XU8V
GTEX-Q2AG-0226-SM-2S1P4	GTEX-Q2AG-0226-SM-2QU2T
GTEX-PWOO-2226-SM-2S1P1	GTEX-PWOO-2226-SM-2QU2S
GTEX-OIZI-0226-SM-2XCEE	GTEX-OIZI-0226-SM-2XV4P
GTEX-QEL4-0326-SM-3GAE5	GTEX-QEL4-0326-SM-2TWAX
GTEX-PLZ4-0226-SM-2S1NW	GTEX-PLZ4-0226-SM-2M482
GTEX-QDT8-0226-SM-32PL4	GTEX-QDT8-0226-SM-2XV5J
GTEX-SIU8-0226-SM-2XCDS	GTEX-SIU8-0226-SM-2XV4Q
GTEX-P4QT-0226-SM-3LK68	GTEX-P4QT-0226-SM-2D446
GTEX-QEG5-0326-SM-2S1PB	GTEX-QEG5-0326-SM-2QU3C
GTEX-P4QR-0426-SM-2S1NV	GTEX-P4QR-0426-SM-2M47O
GTEX-QMRM-1726-SM-2S1QG	GTEX-QMRM-1726-SM-2TO4I
GTEX-R55F-1426-SM-2TF53	GTEX-R55F-1426-SM-2TWAS
GTEX-P44G-2326-SM-2XCCZ	GTEX-P44G-2326-SM-2XV5B
GTEX-RVPU-2326-SM-2TF6R	GTEX-RVPU-2326-SM-2XU8D
GTEX-R55D-1026-SM-3GAEQ	GTEX-R55D-1026-SM-2TWC3
GTEX-NPJ8-1326-SM-3LK6B	GTEX-NPJ8-1326-SM-2AXTY
GTEX-S4Z8-2026-SM-3K2A9	GTEX-S4Z8-2026-SM-2XU8K
GTEX-Q2AG-0526-SM-2S1PW	GTEX-Q2AG-0526-SM-2QU4W
GTEX-SNMC-1526-SM-2XCFN	GTEX-SNMC-1526-SM-2XV4X
GTEX-Q2AI-1726-SM-2S1PZ	GTEX-Q2AI-1726-SM-2QU4Z
GTEX-PW2O-1926-SM-2S1OB	GTEX-PW2O-1926-SM-2QU39
GTEX-QLQW-1526-SM-2S1QV	GTEX-QLQW-1526-SM-2TO4Z
GTEX-SJXC-0426-SM-2XCFH	GTEX-SJXC-0426-SM-2XV53
GTEX-OIZI-0526-SM-2XCEG	GTEX-OIZI-0526-SM-2XV55
GTEX-NPJ8-1826-SM-2YUNC	GTEX-NPJ8-1826-SM-2QU3L
GTEX-S4UY-0426-SM-3K2AF	GTEX-S4UY-0426-SM-2XU8M
GTEX-S7SE-0526-SM-2XCD8	GTEX-S7SE-0526-SM-2XV4N
GTEX-P44H-0626-SM-2XCF2	GTEX-P44H-0626-SM-2XV4S
GTEX-S3XE-1826-SM-3K2B4	GTEX-S3XE-1826-SM-2XU8Z
GTEX-QCQG-1926-SM-2S1PI	GTEX-QCQG-1926-SM-2QU3U
GTEX-RU1J-1926-SM-2TF6S	GTEX-RU1J-1926-SM-2TWBP
GTEX-O5YW-1826-SM-2YUN2	GTEX-O5YW-1826-SM-2M47V
GTEX-QDVJ-2126-SM-2S1PO	GTEX-QDVJ-2126-SM-2QU44
GTEX-N7MS-0626-SM-2YUN7	GTEX-N7MS-0626-SM-2QU2Q
GTEX-RNOR-0426-SM-2TF4U	GTEX-RNOR-0426-SM-2TWAN
GTEX-REY6-0726-SM-2TF4M	GTEX-REY6-0726-SM-2TO4O
GTEX-RM2N-1826-SM-2TF5B	GTEX-RM2N-1826-SM-2TO4K
GTEX-Q734-2226-SM-3GAD9	GTEX-Q734-2226-SM-2QU4H
GTEX-QEG4-1226-SM-2S1P6	GTEX-QEG4-1226-SM-2QU2X
GTEX-PX3G-1826-SM-2S1PK	GTEX-PX3G-1826-SM-2QU3P
GTEX-OXRN-1226-SM-2I5EL	GTEX-OXRN-1226-SM-2D44Q
GTEX-PSDG-0526-SM-2S1OH	GTEX-PSDG-0526-SM-2QU4G
GTEX-OHPJ-0626-SM-2YUMY	GTEX-OHPJ-0626-SM-2M47U
GTEX-RU72-1226-SM-2TF6N	GTEX-RU72-1226-SM-2TWBD
GTEX-P4PP-1826-SM-2S1NT	GTEX-P4PP-1826-SM-2M47G
GTEX-OHPK-1826-SM-2YUMR	GTEX-OHPK-1826-SM-2M47R
GTEX-P78B-0726-SM-2S1O2	GTEX-P78B-0726-SM-2M48A
GTEX-S33H-2426-SM-2XCB2	GTEX-S33H-2426-SM-2XU8L
GTEX-OXRO-1926-SM-2S1O3	GTEX-OXRO-1926-SM-2M488
GTEX-O5YV-1626-SM-2YUNJ	GTEX-O5YV-1626-SM-2QU48
GTEX-RUSQ-1926-SM-2TF6K	GTEX-RUSQ-1926-SM-2XUA4
GTEX-QDVN-2326-SM-2S1PF	GTEX-QDVN-2326-SM-2QU3O
GTEX-PLZ4-1326-SM-2S1O7	GTEX-PLZ4-1326-SM-2QU2W
GTEX-S4P3-1826-SM-3K2AL	GTEX-S4P3-1826-SM-2XU8N
GTEX-QXCU-0226-SM-2TC5W	GTEX-QXCU-0226-SM-2TO52
GTEX-S32W-2426-SM-2XCAT	GTEX-S32W-2426-SM-2XU8T
GTEX-P4QT-1826-SM-2S1NJ	GTEX-P4QT-1826-SM-2M478
GTEX-OXRP-2426-SM-2S1NR	GTEX-OXRP-2426-SM-2M47D
GTEX-QLQ7-1926-SM-2S1R6	GTEX-QLQ7-1926-SM-2QU3Q
GTEX-R53T-2026-SM-3GIJF	GTEX-R53T-2026-SM-2TO4X
GTEX-OIZH-1826-SM-2YUNP	GTEX-OIZH-1826-SM-2QU54
GTEX-RWS6-2326-SM-2XCB4	GTEX-RWS6-2326-SM-2XU8O
GTEX-NFK9-0526-SM-2YUNL	GTEX-NFK9-0526-SM-2QU51
GTEX-QVJO-1726-SM-2S1R3	GTEX-QVJO-1726-SM-2TO4L
GTEX-PWOO-2426-SM-2S1OV	GTEX-PWOO-2426-SM-2IZJI
GTEX-RWSA-0526-SM-2XCBC	GTEX-RWSA-0526-SM-2XU8U
GTEX-PWCY-2226-SM-2S1OP	GTEX-PWCY-2226-SM-2QU4X
GTEX-QEG5-0626-SM-2S1PP	GTEX-QEG5-0626-SM-2QU47
GTEX-OHPL-1826-SM-2YUN8	GTEX-OHPL-1826-SM-2QU3B
GTEX-S7SF-2226-SM-3K2BG	GTEX-S7SF-2226-SM-2XU93
GTEX-P4QS-1826-SM-2S1NI	GTEX-P4QS-1826-SM-2M475
GTEX-RVPV-0226-SM-2TF6W	GTEX-RVPV-0226-SM-2XU9L
GTEX-S341-2026-SM-2XCAA	GTEX-S341-2026-SM-2XU8A
GTEX-PVOW-0726-SM-2XCF5	GTEX-PVOW-0726-SM-2XV5G
GTEX-OXRK-0526-SM-2YUMW	GTEX-OXRK-0526-SM-2M47L
GTEX-S95S-1626-SM-2XCDJ	GTEX-S95S-1626-SM-2XV5P
GTEX-OXRL-1826-SM-2YUMV	GTEX-OXRL-1826-SM-2M47K
GTEX-R55C-1826-SM-3GADI	GTEX-R55C-1826-SM-2TO5C
GTEX-OIZF-1826-SM-2I5GT	GTEX-OIZF-1826-SM-2AXUP
GTEX-QEL4-0526-SM-3GIJ4	GTEX-QEL4-0526-SM-2TWAR
GTEX-RN64-0526-SM-2TC5P	GTEX-RN64-0526-SM-2TO4V
GTEX-Q2AH-2026-SM-2S1PX	GTEX-Q2AH-2026-SM-2QU4Q
GTEX-PWN1-1826-SM-2S1PE	GTEX-PWN1-1826-SM-2QU3G
GTEX-QDT8-0426-SM-32PKZ	GTEX-QDT8-0426-SM-2XV4J
GTEX-RTLS-0426-SM-2TF5K	GTEX-RTLS-0426-SM-2TWBI
GTEX-OHPM-1826-SM-2YUNF	GTEX-OHPM-1826-SM-2QU3Z
GTEX-QV31-1626-SM-2S1QC	GTEX-QV31-1626-SM-2TO5A
GTEX-OIZG-1526-SM-2YUNG	GTEX-OIZG-1526-SM-2QU3R
GTEX-POMQ-2126-SM-2S1OJ	GTEX-POMQ-2126-SM-2QU4E
GTEX-NL4W-0011-R4a-SM-2I5GZ	GTEX-NL4W-0011-R4a-SM-2AXW6
GTEX-NPJ8-0011-R4a-SM-2HML3	GTEX-NPJ8-0011-R4a-SM-2AXW8
GTEX-Q2AG-0011-R4A-SM-2HMKA	GTEX-Q2AG-0011-R4A-SM-2IZK4
GTEX-S7SE-0011-R4A-SM-2XCDB	GTEX-S7SE-0011-R4A-SM-2XV6H
GTEX-RVPU-0011-R4A-SM-2TF6X	GTEX-RVPU-0011-R4A-SM-2XU9Y
