GTEX-N7MS-0007-SM-2D7W1	GSM1117144_GTEX-N7MS-0007-SM-2D43E.CEL
GTEX-N7MS-0011-R10A-SM-2HMJK	GSM1117145_GTEX-N7MS-0011-R10A-SM-2IZJW.CEL
GTEX-N7MS-0011-R11A-SM-2HMJS	GSM1117146_GTEX-N7MS-0011-R11A-SM-2IZJZ.CEL
GTEX-N7MS-0011-R1a-SM-2HMJG	GSM1117147_GTEX-N7MS-0011-R1a-SM-2AXVJ.CEL
GTEX-N7MS-0011-R2a-SM-2HML6	GSM1117148_GTEX-N7MS-0011-R2a-SM-2IZK7.CEL
GTEX-N7MS-0011-R3a-SM-33HC6	GSM1117149_GTEX-N7MS-0011-R3a-SM-2AXVU.CEL
GTEX-N7MS-0011-R4a-SM-2HMKW	GSM1117150_GTEX-N7MS-0011-R4a-SM-2AXW2.CEL
GTEX-N7MS-0011-R5a-SM-2HMK8	GSM1117151_GTEX-N7MS-0011-R5a-SM-2AXW7.CEL
GTEX-N7MS-0011-R6a-SM-2HMJ4	GSM1117152_GTEX-N7MS-0011-R6a-SM-2AXWD.CEL
GTEX-N7MS-0011-R7a-SM-2HMKN	GSM1117153_GTEX-N7MS-0011-R7a-SM-2AXV5.CEL
GTEX-N7MS-0011-R8a-SM-2YUMK	GSM1117154_GTEX-N7MS-0011-R8a-SM-2AXVD.CEL
GTEX-N7MS-0426-SM-2YUN6	GSM1117155_GTEX-N7MS-0426-SM-2QU34.CEL
GTEX-N7MS-0626-SM-2YUN7	GSM1117156_GTEX-N7MS-0626-SM-2QU2Q.CEL
GTEX-N7MS-0826-SM-2HML4	GSM1117157_GTEX-N7MS-0826-SM-2AXU2.CEL
GTEX-N7MS-0926-SM-2HMIZ	GSM1117158_GTEX-N7MS-0926-SM-2AXU3.CEL
GTEX-N7MS-2326-SM-2HMLD	GSM1117159_GTEX-N7MS-2326-SM-2AXU4.CEL
GTEX-N7MS-2526-SM-2D7W3	GSM1117161_GTEX-N7MS-2526-SM-2D43A.CEL
GTEX-N7MT-0011-R10A-SM-2I3E1	GSM1117162_GTEX-N7MT-0011-R10A-SM-2IZHQ.CEL
GTEX-N7MT-0011-R2a-SM-2I3GI	GSM1117165_GTEX-N7MT-0011-R2a-SM-2AXW5.CEL
GTEX-N7MT-0011-R3a-SM-2I3GC	GSM1117166_GTEX-N7MT-0011-R3a-SM-2AXVY.CEL
GTEX-N7MT-0011-R4a-SM-2I3G9	GSM1117167_GTEX-N7MT-0011-R4a-SM-2AXVR.CEL
GTEX-N7MT-0011-R5a-SM-2I3G6	GSM1117168_GTEX-N7MT-0011-R5a-SM-2AXVM.CEL
GTEX-N7MT-0011-R6a-SM-2I3G3	GSM1117169_GTEX-N7MT-0011-R6a-SM-2IZIT.CEL
GTEX-N7MT-0011-R7a-SM-2I3FZ	GSM1117170_GTEX-N7MT-0011-R7a-SM-2AXV9.CEL
GTEX-N7MT-0011-R8a-SM-2I5GU	GSM1117171_GTEX-N7MT-0011-R8a-SM-2AXV2.CEL
GTEX-N7MT-0126-SM-2D7VT	GSM1117172_GTEX-N7MT-0126-SM-2D43B.CEL
GTEX-N7MT-1326-SM-2I3FV	GSM1117174_GTEX-N7MT-1326-SM-2AXUA.CEL
GTEX-NFK9-0226-SM-2HMKQ	GSM1117175_GTEX-NFK9-0226-SM-2AXU5.CEL
GTEX-NFK9-0426-SM-2YUNK	GSM1117176_GTEX-NFK9-0426-SM-2QU4B.CEL
GTEX-NFK9-0526-SM-2YUNL	GSM1117177_GTEX-NFK9-0526-SM-2QU51.CEL
GTEX-NFK9-0626-SM-2HMIV	GSM1117178_GTEX-NFK9-0626-SM-2AXU6.CEL
GTEX-NFK9-0726-SM-2HMJW	GSM1117179_GTEX-NFK9-0726-SM-2AXU7.CEL
GTEX-NFK9-0926-SM-2HMJU	GSM1117180_GTEX-NFK9-0926-SM-2AXU8.CEL
GTEX-NFK9-1026-SM-2HMK1	GSM1117181_GTEX-NFK9-1026-SM-2AXU9.CEL
GTEX-NL3H-0006-SM-2I3FW	GSM1117182_GTEX-NL3H-0006-SM-2AXUR.CEL
GTEX-NL3H-0011-R10A-SM-2I3E9	GSM1117183_GTEX-NL3H-0011-R10A-SM-2IZHY.CEL
GTEX-NL3H-0011-R11A-SM-2I3E6	GSM1117184_GTEX-NL3H-0011-R11A-SM-2IZHV.CEL
GTEX-NL3H-0011-R2a-SM-2I3GG	GSM1117186_GTEX-NL3H-0011-R2a-SM-2AXWF.CEL
GTEX-NL3H-0011-R3a-SM-2I3GL	GSM1117187_GTEX-NL3H-0011-R3a-SM-2AXW9.CEL
GTEX-NL3H-0011-R4a-SM-2I3GK	GSM1117188_GTEX-NL3H-0011-R4a-SM-2AXW4.CEL
GTEX-NL3H-0011-R5a-SM-2I3GB	GSM1117189_GTEX-NL3H-0011-R5a-SM-2AXVW.CEL
GTEX-NL3H-0011-R6a-SM-2I3G8	GSM1117190_GTEX-NL3H-0011-R6a-SM-2AXVQ.CEL
GTEX-NL3H-0011-R7a-SM-2I3G5	GSM1117191_GTEX-NL3H-0011-R7a-SM-2AXVL.CEL
GTEX-NL4W-0006-SM-2I3GH	GSM1117193_GTEX-NL4W-0006-SM-2IZIU.CEL
GTEX-NL4W-0011-R10A-SM-2I3DY	GSM1117194_GTEX-NL4W-0011-R10A-SM-2IZHO.CEL
GTEX-NL4W-0011-R11A-SM-2I3DW	GSM1117195_GTEX-NL4W-0011-R11A-SM-2IZHM.CEL
GTEX-NL4W-0011-R2a-SM-2I5GV	GSM1117197_GTEX-NL4W-0011-R2a-SM-2AXV4.CEL
GTEX-NL4W-0011-R4a-SM-2I5GZ	GSM1117199_GTEX-NL4W-0011-R4a-SM-2AXW6.CEL
GTEX-NL4W-0011-R5a-SM-2I3GD	GSM1117200_GTEX-NL4W-0011-R5a-SM-2AXVZ.CEL
GTEX-NL4W-0011-R6a-SM-2I3GA	GSM1117201_GTEX-NL4W-0011-R6a-SM-2AXVS.CEL
GTEX-NL4W-0011-R8a-SM-2I3G4	GSM1117202_GTEX-NL4W-0011-R8a-SM-2AXVI.CEL
GTEX-NL4W-0011-R9a-SM-2I3G1	GSM1117203_GTEX-NL4W-0011-R9a-SM-2AXVA.CEL
GTEX-NPJ7-0011-R10A-SM-2I3E5	GSM1117204_GTEX-NPJ7-0011-R10A-SM-2IZHU.CEL
GTEX-NPJ7-0011-R11A-SM-2I3E8	GSM1117205_GTEX-NPJ7-0011-R11A-SM-2IZHX.CEL
GTEX-NPJ7-0011-R2a-SM-2I3GF	GSM1117206_GTEX-NPJ7-0011-R2a-SM-2AXWC.CEL
GTEX-NPJ7-0011-R4a-SM-2I3GJ	GSM1117207_GTEX-NPJ7-0011-R4a-SM-2AXW1.CEL
GTEX-NPJ7-0011-R5a-SM-33HBK	GSM1117208_GTEX-NPJ7-0011-R5a-SM-2AXVT.CEL
GTEX-NPJ7-0011-R6a-SM-2I3G7	GSM1117209_GTEX-NPJ7-0011-R6a-SM-2AXVN.CEL
GTEX-NPJ7-0011-R8a-SM-2I3G2	GSM1117210_GTEX-NPJ7-0011-R8a-SM-2AXVB.CEL
GTEX-NPJ7-0011-R9a-SM-2TC5R	GSM1117211_GTEX-NPJ7-0011-R9a-SM-2AXV3.CEL
GTEX-NPJ7-1726-SM-2YUNA	GSM1117212_GTEX-NPJ7-1726-SM-2QU3I.CEL
GTEX-NPJ7-2726-SM-2I3FT	GSM1117213_GTEX-NPJ7-2726-SM-2AXTV.CEL
GTEX-NPJ7-2826-SM-2I3FU	GSM1117214_GTEX-NPJ7-2826-SM-2AXTW.CEL
GTEX-NPJ8-0007-SM-2D7VX	GSM1117215_GTEX-NPJ8-0007-SM-2D43F.CEL
GTEX-NPJ8-0011-R10A-SM-2YUMO	GSM1117216_GTEX-NPJ8-0011-R10A-SM-2QU5B.CEL
GTEX-NPJ8-0011-R11A-SM-2YUMS	GSM1117217_GTEX-NPJ8-0011-R11A-SM-2QU5D.CEL
GTEX-NPJ8-0011-R2a-SM-2TC6M	GSM1117219_GTEX-NPJ8-0011-R2a-SM-2AXV6.CEL
GTEX-NPJ8-0011-R3a-SM-2HMIW	GSM1117220_GTEX-NPJ8-0011-R3a-SM-2AXWE.CEL
GTEX-NPJ8-0011-R4a-SM-2HML3	GSM1117221_GTEX-NPJ8-0011-R4a-SM-2AXW8.CEL
GTEX-NPJ8-0011-R5a-SM-2HMJY	GSM1117222_GTEX-NPJ8-0011-R5a-SM-2AXW3.CEL
